sample id	frequency
srr12011876	5,994
srr7268551	5,983
srr8450572	5,972
srr12011826	5,972
srr7268549	5,971
srr12011794	5,963
srr5808382	5,955
srr5808384	5,953
srr12011792	5,941
srr12011824	5,939
srr5808397	5,931
srr12011832	5,931
srr12011892	5,929
srr12011920	5,928
srr6173195	5,925
srr12011900	5,919
srr12011917	5,918
srr12011823	5,904
srr12011903	5,889
srr6173251	5,889
srr12011896	5,874
srr12011845	5,873
srr12011830	5,87
srr12011882	5,865
srr12011907	5,859
srr5808405	5,837
srr12011915	5,832
srr12011890	5,829
srr8450554	5,828
srr12011790	5,811
srr12011801	5,808
srr12011898	5,806
srr12011923	5,802
srr12011918	5,795
srr6173243	5,794
srr12011914	5,792
srr12011836	5,789
srr6173210	5,784
srr12011897	5,781
srr7268544	5,778
err3561498	5,773
srr12011843	5,772
srr12011797	5,759
srr6173225	5,756
srr8450546	5,756
srr8450585	5,746
srr5808348	5,744
srr12011807	5,743
srr6173242	5,741
srr12011871	5,739
srr16072464	5,73
srr5808394	5,727
srr5808407	5,725
srr12011849	5,713
srr12011909	5,696
srr16072453	5,693
srr12011868	5,689
err3561526	5,683
srr7268553	5,682
srr12011899	5,68
srr14300859	5,67
srr6173228	5,668
srr12011853	5,667
srr12011791	5,661
srr12011913	5,658
srr12011839	5,652
srr5808369	5,636
srr8450544	5,618
srr5808368	5,614
srr5808324	5,607
srr12011895	5,593
srr5808345	5,591
srr12011844	5,584
srr5808332	5,582
srr7268541	5,582
srr12011820	5,563
srr12011904	5,557
srr5808340	5,534
srr8450589	5,512
srr8450567	5,502
srr12011834	5,498
srr5808402	5,497
srr12011831	5,492
srr12011927	5,489
srr5808408	5,489
srr12011916	5,478
srr12011833	5,476
srr12011858	5,471
srr14300674	5,451
srr12011855	5,416
srr12011869	5,386
srr14300481	5,373
srr14300677	5,366
srr3218792	5,362
srr5808333	5,356
srr14300860	5,354
err3561522	5,345
srr12011912	5,341
srr12011806	5,337
srr16072454	5,337
srr12011796	5,32
srr5808374	5,316
srr12011894	5,294
srr5808341	5,279
srr16072465	5,278
srr12011852	5,274
srr5808406	5,263
srr12011872	5,257
srr12011921	5,254
srr12011910	5,249
srr12011926	5,229
srr12011911	5,213
srr5808403	5,203
srr8450533	5,195
srr16072469	5,191
srr12011822	5,187
srr14300772	5,185
srr12011793	5,182
srr5808365	5,16
