condition1,acidobacteriota,actinomycetota,aenigmatarchaeota,armatimonadota,atribacterota,bacillota,bacillota_a,bacillota_b,bacillota_c,bacillota_d,bacillota_e,bacillota_f,bacillota_g,bacillota_i,bacteroidota,bdellovibrionota,bipolaricaulota,cld3,campylobacterota,chlamydiota,chloroflexota,cloacimonadota,coprothermobacterota,cyanobacteriota,dtu030,deinococcota,dependentiae,desulfobacterota,desulfobacterota_d,desulfobacterota_g,electryoneota,elusimicrobiota,eremiobacterota,fcpu426,fermentibacterota,fibrobacterota,fusobacteriota,gemmatimonadota,halobacteriota,hydrogenedentota,iainarchaeota,ksb1,krumholzibacteriota,marinisomatota,methanobacteriota,methanobacteriota_b,myxococcota,nanoarchaeota,nitrospirota,omnitrophota,patescibacteria,planctomycetota,pseudomonadota,rug730,spirochaetota,sumerlaeota,synergistota,thermoplasmatota,thermoproteota,thermotogota,uba8248,unknown,verrucomicrobiota,wor-3
domestic-urban,0.7124596547178826,5.186249773142714,0,0.3142294824253545,0.9260595538022932,14.49687637377159,16.27928362300048,20.65662504701758,1.170423212754641,1.308921630437734,2.02092757050503,0.8236188284386176,12.04286277315455,1.534973715157839,18.65724403592853,0.0213152278159743,0,0.0902927539843617,0.292903329870737,0,8.010477365815396,0.0948418875322645,0,0.0426304556319486,0,0,0,2.633543929565632,0,0.0514595120783975,0.0213152278159743,0.036919057552173,0.0426304556319486,0.0426304556319486,0,0,1.647828985746858,0.6329101415337606,5.175316057265122,0,0,0,0,0,0.8703108406516045,0,0.1096937974465448,0,0,0.0301442842624232,3.199257282608596,0.9357720382181512,9.01648944818458,0.0213152278159743,0.756155812022597,0.0213152278159743,2.467311921410129,0.3418789162965735,0,0.7059487967980845,0,16.21741819363165,1.428843256093391,0
foodwaste,0,4.323884895962673,0,0.0213152278159743,0.036919057552173,0.8197410423066187,5.417798077132226,0.6844108630931677,0.1079508668772595,0.2126128216033402,0.240961108619778,0.1249861717946878,2.098577381681398,0.2978737328672377,1.156859635617641,0,0,0,0,0,76.68104163665903,0.0816037963408208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426304556319487,0,0,0.2368030853419017,0,0,0,0,0,0,0,0,0,0,0,5.678710927526244,0.1205771370496928,22.27441109328607,0,0.0213152278159743,0,0.0887198965598297,0.1609264409606842,0.496430561687312,0,0.0213152278159743,180.4154641141861,0,0
manure,0.2559693533060678,51.80532085147838,0,0,0.1100351243758041,40.94468582318915,225.891320920714,37.083897567443,0.2591875463492788,6.557593277209603,1.703936637401632,7.070457921985567,211.2170065743792,3.206869673136953,177.6196947552328,0,0,0,0,0,21.22271266830849,28.05747437412992,0,0.0301442842624232,0,0.0213152278159743,0,0.2358422337731057,0,0.036919057552173,0,0,0.0213152278159743,0,0,0.6682756880356368,0.073838115104346,0.0953245967048261,26.40292604138075,0,0,0,0.0213152278159743,0,1.196827914299152,0,0.0213152278159743,0,0,0,2.442606847187614,0.8872425227689563,13.86271719824151,0,0.291283589936716,0,0.7097059843487163,3.226454045397799,0,0,0,155.3973390461339,1.753326407306327,0
mixed,7.087613830837911,48.47081728938628,0,1.003983980927259,3.280370319596048,45.16388768608273,408.5669888577749,31.93575799996831,1.883963714479428,1.640849222935795,16.99683086618575,18.26793589740583,76.75767972991551,36.61749806784439,569.576538945194,0,0,0,0.4034899409260469,0,18.01086976671262,33.65610002263671,0,0.0706946129865336,0,0.2702050237827566,0,1.023205803441911,0,0.0904328527872696,0,0,0.1008388972489568,0,1.045317857109993,4.461634431129491,0.1117480806032439,0.0514595120783975,97.09660517195675,0.5568614645895629,0,0.3469760385614786,0,0,18.90873951463383,0,0.0426304556319487,0,0,0,2.893629070294672,2.968980289077724,38.56081471206168,0,13.53380891082073,0,15.72943777167737,0.7090077987902126,14.49825402814329,1.050001699494455,0,18.66393257771371,11.83621587435745,0
silage,0.1278913668958461,1.144276506450127,0.0887198965598297,0,0.445721216860435,4.425993786125678,61.00656042325809,11.43070535135627,1.242470932674888,1.701430939626023,1.671571545309538,2.537010852054773,19.29268820517101,7.31313322981178,44.80016816456018,0.0213152278159743,0.0514595120783975,0,0.4366990346957718,0,73.36282392119786,14.98537967446486,0,0.0639456834479231,0.150581322509208,0,0,0.62235435987996,0,0,0,0.0514595120783975,0.1710457411813654,0,0,1.080177305159376,0,0.4310094057490627,8.854096392103518,0.0514595120783975,0.06394568344792301,0,0,0.0301442842624232,1.155490233716051,0.0213152278159743,0.0639456834479229,0.1434951966320447,0,0.8166710163503571,11.03632601736915,1.2158964009751,11.91389847195833,0,1.877307125886266,0,2.40587721305769,4.42653465789252,2.509157616757378,1.153221058555454,0.1185228538929937,69.09360724380578,7.690430944815197,0
synthetic,3.217045346051342,36.5492893055434,0,0.5620972525276869,11.45552404091398,91.14218554541982,192.7562026182261,115.8678183337199,3.615551466966543,4.291933310394615,45.03695303816629,24.59653950531676,199.9846708307426,5.30887379120093,43.77614469468265,0.333973136257191,0,0,2.918783449208957,0.2221937978717072,14.08622835068086,3.019079344098246,2.192904591685412,0,1.223119816981106,0.0213152278159743,0.0602885685248464,3.957184074692397,0.0213152278159743,0,0,1.660447047754041,0.4096684369825911,0,0,0,0,3.348360696831535,8.32592748762318,0.0213152278159743,0,0,0,0,67.59014849236316,0,1.580565779381602,0,0.1223847352403586,0,3.11094660649165,3.48972969845924,33.55591826879115,0,24.23236758968866,0,115.5851806529091,1.790293515694887,0.2166112634556757,34.51042184892331,0.6429191547047436,14.38156779761235,1.331662486481268,0.0426304556319487
