
sample id	frequency
srr14300773	2.201
srr14300775	2.201
srr14300777	2.201
srr14300778	2.201
srr14300779	2.201
srr14300780	2.201
srr14300781	2.201
srr14300782	2.201
srr14300783	2.201
srr14300784	2.201
srr14300785	2.201
srr14300786	2.201
srr14300787	2.201
srr14300790	2.201
srr14300791	2.201
srr14300794	2.201
srr14300795	2.201
srr14300796	2.201
srr14300797	2.201
srr14300798	2.201
srr14300800	2.201
srr14300801	2.201
srr14300816	2.201
srr14300817	2.201
srr14300822	2.201
srr14300823	2.201
srr14300824	2.201
srr14300825	2.201
srr14300826	2.201
srr14300827	2.201
srr14300828	2.201
srr14300829	2.201
srr14300830	2.201
srr14300832	2.201
srr14300834	2.201
srr14300835	2.201
srr14300836	2.201
srr14300837	2.201
srr14300838	2.201
srr14300839	2.201
srr14300840	2.201
srr14300841	2.201
srr14300842	2.201
srr14300844	2.201
srr14300845	2.201
srr14300848	2.201
srr14300849	2.201
srr14300850	2.201
srr14300851	2.201
srr14300852	2.201
srr14300853	2.201
srr14300854	2.201
srr14300855	2.201
srr14300856	2.201
srr14300857	2.201
srr14300858	2.201
srr14300859	2.201
srr14300860	2.201
srr14300861	2.201
srr14300862	2.201
srr16072445	2.201
srr16072446	2.201
srr16072447	2.201
srr16072448	2.201
srr16072449	2.201
srr16072450	2.201
srr16072451	2.201
srr16072452	2.201
srr16072453	2.201
srr16072454	2.201
srr16072455	2.201
srr16072456	2.201
srr16072457	2.201
srr16072458	2.201
srr16072459	2.201
srr16072460	2.201
srr16072461	2.201
srr16072462	2.201
srr16072463	2.201
srr16072464	2.201
srr16072465	2.201
srr16072466	2.201
srr16072467	2.201
srr16072468	2.201
srr16072469	2.201
srr16072470	2.201
srr16072471	2.201
srr16072472	2.201
srr16072473	2.201
srr1951459	2.201
srr1951460	2.201
srr1951462	2.201
srr1951463	2.201
srr2046299	2.201
srr21103440	2.201
srr21103441	2.201
srr21103442	2.201
srr21103443	2.201
srr21103444	2.201
srr21103445	2.201
srr21103446	2.201
srr21103447	2.201
srr21103448	2.201
srr21103449	2.201
srr21103450	2.201
