Gêneros exclusivos de DOMESTIC-URBAN:
  - d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__CALZJG01;f__CALZJG01;g__CALZJG01
  - d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Thermacetogenium
  - d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__JAJGRE01
  - d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pluralibacter
  - d__Bacteria;p__UBA8248;c__UBA8248;o__UBA8248;f__UBA8248;g__Bin107
  - d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Salisediminibacteriaceae;g__Evansella
  - d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caldimonas
  - d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Palauibacterales;f__Palauibacteraceae;g__Palauibacter
  - d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__JAITLA01
  - d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminiphilaceae;g__Aminiphilus
  - d__Bacteria;p__Bacillota_G;c__Limnochordia;o__Limnochordales;f__Limnochordaceae;g__Limnochorda
  - d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter
  - d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__Aminobacterium
  - d__Bacteria;p__Eremiobacterota;c__JACPDT01;o__JACPDT01;f__JACPDT01;g__JACPDT01
  - d__Bacteria;p__Bacillota;c__Bacilli;o__Thermoactinomycetales;f__DSM-45169;g__Kroppenstedtia
  - d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B
  - d__Bacteria;p__Bacillota_G;c__Limnochordia;o__Limnochordales;f__Bu05;g__Bu05
  - d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodovarius
  - d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga
