
sample id	frequency
srr14300486	8.165
srr14300706	8.140
srr14300760	8.114
srr6173248	8.095
srr14300484	8.026
srr14300649	7.998
srr14300830	7.981
srr5808340	7.959
srr6173239	7.927
srr5808364	7.921
srr6173209	7.910
srr14300701	7.896
srr6173245	7.877
srr5808396	7.861
srr5808369	7.814
srr14300482	7.736
srr14300672	7.721
srr12011846	7.708
srr12011874	7.677
srr12011889	7.649
srr5808394	7.632
srr12011865	7.631
srr14300733	7.616
srr14300852	7.613
srr14300650	7.611
srr5808384	7.602
srr14300817	7.584
srr14300731	7.529
srr14300851	7.520
srr5808420	7.507
srr5808345	7.485
srr14300479	7.472
srr8450567	7.465
srr14300661	7.460
srr14300858	7.453
srr5808354	7.453
srr12011877	7.382
srr5808366	7.376
srr5808415	7.376
srr6173206	7.366
srr12011866	7.343
srr12011836	7.313
srr14300677	7.289
srr12011902	7.288
srr12011870	7.262
srr14300647	7.256
srr14300487	7.235
srr14300779	7.183
srr6173226	7.169
srr12011819	7.167
srr5808416	7.113
srr5808375	7.103
srr14300844	7.099
srr14300570	7.098
srr5808412	7.097
srr12011826	7.080
srr8450544	7.078
srr12011876	7.073
srr21283103	7.049
srr5808405	7.006
srr12011863	7.004
srr8450546	6.981
srr12011891	6.960
srr12011897	6.876
srr12011881	6.863
srr8450554	6.858
srr6173243	6.854
srr12011815	6.850
srr12011849	6.836
srr14300473	6.836
srr14300638	6.821
srr12011888	6.816
srr5808397	6.786
srr14300557	6.767
srr6173251	6.767
srr14300481	6.751
srr12011885	6.706
srr12011920	6.705
srr5808398	6.679
srr5808399	6.678
srr5808322	6.665
srr14300838	6.652
srr12011892	6.631
srr12011887	6.627
srr5808388	6.615
srr14300787	6.613
srr14300728	6.606
srr14300614	6.600
srr14300478	6.595
srr6173235	6.588
srr5808360	6.576
srr12011899	6.526
srr5808324	6.525
srr6173210	6.520
srr14300563	6.504
srr6173242	6.437
srr5808406	6.417
srr5808402	6.380
srr12011890	6.377
srr12011908	6.368
srr12011832	6.365
srr12011841	6.363
srr12011893	6.360
srr12011862	6.351
srr12011861	6.347
srr14300729	6.337
srr14300642	6.326
srr12011883	6.298
srr14300773	6.273
srr12011880	6.259
srr14300842	6.246
srr8450587	6.211
srr5808368	6.204
srr12011858	6.195
srr12011795	6.183
srr12011820	6.168
srr5808379	6.149
srr14300474	6.124
srr5808380	6.114
srr12011884	6.100
srr14300476	6.097
srr12011901	6.096
srr14300853	6.086
srr12011839	6.078
srr21283115	6.061
srr12011797	6.060
srr5808408	6.051
srr14300566	6.034
srr14300786	6.028
srr14300727	6.011
srr6173225	6.007
srr5808348	6.005
srr14300640	6.003
srr12011813	5.950
srr14300783	5.949
srr12011805	5.933
srr14300651	5.933
srr12011801	5.930
srr12011903	5.909
srr12011927	5.898
srr12011869	5.893
srr12011831	5.886
srr6173195	5.875
srr12011867	5.868
srr12011804	5.862
srr14300862	5.862
srr12011853	5.850
srr12011830	5.844
srr5808400	5.833
srr5808316	5.829
srr12011847	5.815
srr2046299	5.802
srr12011852	5.783
srr5808337	5.780
srr6173223	5.770
srr12011860	5.723
srr12011814	5.716
srr5808425	5.709
srr5808332	5.707
srr12011895	5.682
srr21283102	5.680
srr12011921	5.659
srr12011802	5.651
srr12011919	5.646
srr12011855	5.641
srr5808392	5.638
srr5808333	5.622
srr12011856	5.586
srr12011827	5.539
srr12011922	5.487
srr5808413	5.473
srr12011823	5.458
srr12011914	5.454
srr5808325	5.452
srr12011824	5.400
srr12011809	5.383
srr6173228	5.379
srr12011798	5.362
srr12011907	5.353
srr12011792	5.352
srr14300684	5.337
srr12011917	5.320
srr5808418	5.315
srr12011882	5.301
srr12011915	5.284
srr5808336	5.226
srr5808320	5.224
srr12011794	5.213
srr12011842	5.208
srr14300825	5.169
srr14300477	5.159
srr5808341	5.158
srr14300530	5.153
srr12011799	5.136
srr12011812	5.110
srr12011859	5.102
srr12011843	5.086
srr12011816	5.081
srr12011871	5.077
srr8450533	5.064
srr5808411	5.041
srr12011833	5.034
srr14300696	5.025
srr5808349	5.014
srr14300850	5.011
srr12011848	5.001
srr5808371	4.999
srr12011900	4.994
srr14300679	4.993
srr14300568	4.973
srr5808365	4.970
srr21283121	4.963
srr14300716	4.924
srr12011904	4.913
srr12011811	4.884
srr12011854	4.880
srr12011840	4.871
srr14300797	4.860
srr12011925	4.846
srr14300656	4.831
srr12011845	4.828
srr14300827	4.823
srr12011896	4.804
srr14300854	4.783
srr12011844	4.782
srr14300648	4.779
srr14300718	4.755
srr6173241	4.745
srr14300796	4.744
srr14300829	4.732
srr14300826	4.726
srr12011913	4.721
srr14300508	4.710
srr14300495	4.706
srr12011810	4.700
srr12011822	4.699
srr14300569	4.699
srr12011886	4.648
srr12011796	4.629
srr12011808	4.624
srr14300738	4.611
srr14300775	4.608
srr14300784	4.586
srr12011834	4.553
